frame,second,predicted_class_max,pushup,abworkout,squat,pullup,run,jump,rest,totalcounter
1,0.041666666666666664,,0,0,0,0,0,0,0,0
3,0.125,,0,0,0,0,0,0,0,0
5,0.20833333333333334,,0,0,0,0,0,0,0,0
7,0.2916666666666667,,0,0,0,0,0,0,0,0
9,0.375,,0,0,0,0,0,0,0,0
11,0.4583333333333333,,0,0,0,0,0,0,0,0
13,0.5416666666666666,,0,0,0,0,0,0,0,0
15,0.625,,0,0,0,0,0,0,0,0
17,0.7083333333333334,,0,0,0,0,0,0,0,0
19,0.7916666666666666,,0,0,0,0,0,0,0,0
21,0.875,,0,0,0,0,0,0,0,0
23,0.9583333333333334,,0,0,0,0,0,0,0,0
25,1.0416666666666667,,0,0,0,0,0,0,0,0
27,1.125,,0,0,0,0,0,0,0,0
29,1.2083333333333333,,0,0,0,0,0,0,0,0
31,1.2916666666666667,,0,0,0,0,0,0,0,0
33,1.375,,0,0,0,0,0,0,0,0
35,1.4583333333333333,,0,0,0,0,0,0,0,0
37,1.5416666666666667,,0,0,0,0,0,0,0,0
39,1.625,,0,0,0,0,0,0,0,0
41,1.7083333333333333,,0,0,0,0,0,0,0,0
43,1.7916666666666667,,0,0,0,0,0,0,0,0
45,1.875,,0,0,0,0,0,0,0,0
47,1.9583333333333333,,0,0,0,0,0,0,0,0
49,2.0416666666666665,,0,0,0,0,0,0,0,0
51,2.125,,0,0,0,0,0,0,0,0
53,2.2083333333333335,,0,0,0,0,0,0,0,0
55,2.2916666666666665,,0,0,0,0,0,0,0,0
57,2.375,,0,0,0,0,0,0,0,0
59,2.4583333333333335,abworkout,0,1,0,0,0,0,0,1
61,2.5416666666666665,abworkout,0,1,0,0,0,0,0,1
63,2.625,abworkout,0,1,0,0,0,0,0,1
65,2.7083333333333335,abworkout,0,1,0,0,0,0,0,1
67,2.7916666666666665,abworkout,0,1,0,0,0,0,0,1
69,2.875,abworkout,0,1,0,0,0,0,0,1
71,2.9583333333333335,abworkout,0,1,0,0,0,0,0,1
73,3.0416666666666665,abworkout,0,1,0,0,0,0,0,1
75,3.125,abworkout,0,1,0,0,0,0,0,1
77,3.2083333333333335,abworkout,0,1,0,0,0,0,0,1
79,3.2916666666666665,abworkout,0,1,0,0,0,0,0,1
81,3.375,abworkout,0,1,0,0,0,0,0,1
83,3.4583333333333335,abworkout,0,1,0,0,0,0,0,1
85,3.5416666666666665,abworkout,0,1,0,0,0,0,0,1
87,3.625,abworkout,0,1,0,0,0,0,0,1
89,3.7083333333333335,abworkout,0,1,0,0,0,0,0,1
91,3.7916666666666665,abworkout,0,1,0,0,0,0,0,1
